timestamp,nProbes,nSites,nQueries,nResponses,q25RTT,q50RTT,q75RTT,q90RTT
1491050400,9288,45,23150,23150,14.9290,31.4195,56.2210,117.5480
1491051000,9285,45,23150,23150,14.8260,31.3520,56.3710,119.2600
1491051600,9282,45,23113,23113,14.8050,31.1900,56.0860,115.8280
1491052200,9277,45,23039,23039,14.7170,31.1880,55.9440,113.8670
1491052800,9275,45,23110,23110,14.8810,31.3660,56.4400,117.6210
1491053400,9282,45,23168,23168,14.7670,31.2125,56.3210,116.8100
1491054000,9279,45,23140,23140,14.8420,31.3790,56.0300,118.5120
1491054600,9278,45,23162,23162,14.7490,31.3035,56.1750,118.4460
1491055200,9281,45,23156,23156,14.8980,31.2700,56.2760,120.2530
1491055800,9277,45,23174,23174,14.7550,31.3650,56.4400,118.7580
1491056400,9286,45,23174,23174,14.8930,31.2635,56.2000,118.1410
1491057000,9282,45,23156,23156,14.7910,31.3400,56.4900,118.4580
1491057600,9288,45,23156,23156,14.9040,31.2765,56.3450,118.2900
1491058200,9295,45,23179,23179,14.8680,31.3690,56.5120,118.3430
1491058800,9295,45,23154,23154,14.9170,31.3865,56.5870,118.3960
1491059400,9287,45,23159,23159,14.7030,31.2740,56.5130,118.4080
1491060000,9279,45,23149,23149,14.9190,31.3270,56.2790,117.6240
1491060600,9284,45,23195,23195,14.8980,31.4030,56.5300,119.6720
1491061200,9283,45,23160,23160,14.8710,31.2625,56.4270,117.0750
1491061800,9282,45,23165,23165,14.7680,31.3050,56.5620,117.5640
1491062400,9283,45,23156,23156,14.8530,31.2870,56.5100,118.8920
1491063000,9279,45,23141,23141,14.7860,31.2890,56.4320,117.3100
1491063600,9278,45,23151,23151,14.7770,31.2590,56.6340,117.5770
1491064200,9270,45,23118,23118,14.8120,31.3000,56.5780,119.0420
1491064800,9278,45,23134,23134,14.7790,31.2810,56.0800,115.7620
1491065400,9277,45,23169,23169,14.8050,31.2540,56.3030,116.6590
1491066000,9278,45,23111,23111,14.7610,31.2720,56.6570,115.7930
1491066600,9268,45,23129,23129,14.7650,31.2860,56.7720,116.9030
1491067200,9270,45,23108,23108,14.8030,31.3165,56.1470,116.9250
1491067800,9270,45,23120,23120,14.7580,31.3410,56.6000,118.4550
1491068400,9267,45,23132,23132,14.9050,31.3495,56.7180,117.2160
1491069000,9266,45,23125,23125,14.7730,31.4090,57.1630,117.2730
1491069600,9272,45,23112,23112,14.8350,31.3040,56.5610,117.6180
1491070200,9261,45,23121,23121,14.8400,31.4530,56.9180,118.7080
1491070800,9269,45,23089,23089,14.9290,31.3110,56.5460,115.7560
1491071400,9268,45,23098,23098,14.8460,31.2695,57.0310,118.6550
1491072000,9269,45,23106,23106,14.8680,31.4435,56.8200,117.4190
1491072600,9262,45,23107,23107,14.8140,31.3750,57.0070,116.9750
1491073200,9272,45,23144,23144,14.8760,31.6050,57.1690,118.3310
1491073800,9273,45,23150,23150,14.8120,31.4585,57.0400,118.9980
