timestamp,nProbes,nSites,nQueries,nResponses,q25RTT,q50RTT,q75RTT,q90RTT
1448886600,8799,31,22032,22032,17.9510,36.0425,67.3010,140.4510
1448887200,8797,31,21879,21879,17.4230,35.5040,64.9980,138.8510
1448887800,8797,31,22017,22017,17.9270,35.9110,66.4840,140.9740
1448888400,8794,31,21858,21858,17.5410,35.5340,65.7290,139.4360
1448889000,8791,31,22011,22011,17.9760,35.9750,67.1060,140.4330
1448889600,8790,31,21864,21864,17.4940,35.6125,65.3740,140.6900
1448890200,8795,31,22000,22000,17.9130,36.1005,67.6490,141.6190
1448890800,8791,31,21870,21870,17.5740,35.6990,65.7520,140.3040
1448891400,8800,31,22014,22014,17.9550,36.2795,67.2360,141.4420
1448892000,8800,31,21888,21888,17.4870,35.7570,65.6410,139.7730
1448892600,8804,31,22031,22031,17.9480,36.2400,67.1140,140.9440
1448893200,8801,31,21896,21896,17.5730,35.7635,65.9960,139.9260
1448893800,8800,31,22026,22026,17.9930,36.2580,68.0900,142.4340
1448894400,8798,31,21884,21884,17.5210,35.7690,66.3230,140.9480
1448895000,8806,31,22043,22043,17.9020,36.2780,67.6380,140.9260
1448895600,8814,31,21912,21912,17.6520,36.0040,66.4120,140.4530
1448896200,8805,31,22053,22053,17.9390,36.1790,67.5480,141.3200
1448896800,8800,31,21886,21886,17.5090,35.7060,65.9410,141.0750
1448897400,8797,31,22023,22023,17.9140,36.2120,67.9550,141.6640
1448898000,8803,31,21900,21900,17.5130,35.7605,65.9790,140.7600
1448898600,8799,31,22020,22020,17.8310,36.1265,72.4570,145.4670
1448899200,8803,31,21900,21900,17.5650,35.8225,66.5040,139.2590
1448899800,8804,31,22022,22022,17.9140,36.2670,67.6520,139.5510
1448900400,8796,31,21899,21899,17.4600,35.7140,65.7050,138.7910
1448901000,8793,31,22017,22017,18.0760,36.2710,68.3320,141.8750
1448901600,8788,31,21840,21840,17.5720,35.7930,66.6400,137.9640
1448902200,8793,31,22023,22023,17.9100,36.3120,68.4410,141.5440
1448902800,8791,31,21881,21881,17.5860,35.9130,66.6260,138.9990
1448903400,8794,31,22013,22013,17.9240,36.3620,68.5670,141.5060
1448904000,8783,31,21840,21840,17.5070,35.7580,66.7160,139.4770
1448904600,8772,31,21934,21934,18.1580,36.3250,68.8660,141.2190
1448905200,8770,31,21809,21809,17.6480,35.8240,66.9810,139.3430
1448905800,8787,31,21975,21975,18.2210,36.3510,68.6680,140.6720
1448906400,8787,31,21822,21822,17.7150,35.7540,66.4490,140.5240
1448907000,8789,31,21694,21694,18.0670,36.0675,67.0050,139.1950
1448907600,8739,31,21700,21700,17.8510,35.8840,67.0420,138.0120
1448908200,8753,31,21825,21825,18.3320,36.5100,68.9740,140.5950
1448908800,8784,31,21812,21812,17.8430,35.9705,68.1450,140.3690
1448909400,8782,31,21949,21949,18.1330,36.4490,68.9570,141.2210
1448910000,8786,31,21857,21857,17.7800,36.0920,67.5670,138.0180
1448910600,8791,31,21961,21961,18.3370,36.7750,69.5820,140.1490
1448911200,8787,31,21825,21825,18.0060,36.1260,68.5390,139.9130
1448911800,8785,31,21991,21991,18.2750,36.4260,69.5430,140.8100
1448912400,8784,31,21839,21839,17.7910,35.9180,67.7570,137.7190
1448913000,8792,31,21996,21996,18.2880,36.5455,69.4840,140.4120
1448913600,8786,31,21849,21849,17.7950,36.0100,69.7040,140.6230
1448914200,8793,31,21973,21973,18.2390,36.6230,69.7710,141.6290
1448914800,8794,31,21877,21877,17.7740,36.0440,68.3930,140.4980
1448915400,8795,31,21989,21989,18.2280,36.6640,70.0690,141.5860
1448916000,8788,31,21863,21863,17.7310,36.0060,68.0800,139.6630
1448916600,8789,31,22007,22007,18.2720,36.5390,69.6950,141.3210
1448917200,8791,31,21837,21837,17.8300,36.0210,68.3900,139.9730
1448917800,8787,31,21981,21981,18.1130,36.4210,69.6700,140.1860
1448918400,8784,31,21873,21873,17.6400,35.8910,67.3560,139.4590
1448919000,8781,31,21986,21986,18.0630,36.2585,69.0320,140.3760
1448919600,8777,31,21841,21841,17.6120,35.6720,66.9730,138.4800
1448920200,8783,31,21995,21995,17.9550,36.1340,69.1240,141.5910
1448920800,8782,31,21851,21851,17.5600,35.6310,66.9930,139.4530
1448921400,8783,31,21981,21981,17.9810,36.0140,68.3260,140.2600
1448922000,8781,31,21883,21883,17.4800,35.5350,66.8980,137.8850
1448922600,8785,31,21992,21992,17.9280,36.0290,68.7160,139.7690
1448923200,8784,31,21874,21874,17.4340,35.3370,66.2620,138.4090
1448923800,8782,31,21980,21980,17.7990,35.9630,68.3000,140.0550
1448924400,8778,31,21878,21878,17.3530,35.3130,66.5420,139.1130
1448925000,8772,31,21988,21988,17.8110,35.8635,67.9700,140.1100
1448925600,8769,31,21840,21840,17.3630,35.1640,66.0480,137.6220
1448926200,8769,31,21972,21972,17.7120,35.8195,67.7350,139.6740
