F1 Anomaly at : 1448866200.0
F1 Anomaly at : 1448866800.0
F1 Anomaly at : 1448867400.0
F1 Anomaly at : 1448868000.0
F1 Anomaly at : 1448868600.0
F1 Anomaly at : 1448869200.0
F1 Anomaly at : 1448869800.0
F1 Anomaly at : 1448870400.0
F1 Anomaly at : 1448871000.0
F1 Anomaly at : 1448871600.0
F1 Anomaly at : 1448872200.0
F1 Anomaly at : 1448872800.0
F1 Anomaly at : 1448873400.0
F2 Anomaly at : 1448841600.0
F2 Anomaly at : 1448842200.0
F2 Anomaly at : 1448842800.0
F2 Anomaly at : 1448843400.0
F2 Anomaly at : 1448844000.0
F2 Anomaly at : 1448844600.0
F2 Anomaly at : 1448845200.0
F2 Anomaly at : 1448845800.0
F2 Anomaly at : 1448846400.0
F2 Anomaly at : 1448847000.0
F2 Anomaly at : 1448847600.0
F2 Anomaly at : 1448848200.0
F2 Anomaly at : 1448848800.0
F2 Anomaly at : 1448849400.0
F2 Anomaly at : 1448850000.0
F2 Anomaly at : 1448850600.0
F2 Anomaly at : 1448851200.0
F2 Anomaly at : 1448851800.0
F2 Anomaly at : 1448852400.0
F2 Anomaly at : 1448853000.0
F2 Anomaly at : 1448853600.0
F2 Anomaly at : 1448854200.0
F2 Anomaly at : 1448854800.0
F2 Anomaly at : 1448855400.0
F2 Anomaly at : 1448856000.0
F2 Anomaly at : 1448856600.0
F2 Anomaly at : 1448857200.0
F2 Anomaly at : 1448857800.0
F2 Anomaly at : 1448858400.0
F2 Anomaly at : 1448859000.0
F2 Anomaly at : 1448859600.0
F2 Anomaly at : 1448860200.0
F2 Anomaly at : 1448860800.0
F2 Anomaly at : 1448860800.0
F2 Anomaly at : 1448861400.0
F2 Anomaly at : 1448862000.0
F2 Anomaly at : 1448862600.0
F2 Anomaly at : 1448863200.0
F2 Anomaly at : 1448863800.0
F2 Anomaly at : 1448864400.0
F2 Anomaly at : 1448865000.0
F2 Anomaly at : 1448865600.0
F2 Anomaly at : 1448866200.0
F2 Anomaly at : 1448866800.0
F2 Anomaly at : 1448867400.0
F2 Anomaly at : 1448868000.0
F2 Anomaly at : 1448868600.0
F2 Anomaly at : 1448869200.0
F2 Anomaly at : 1448869800.0
